Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
WH_116860,EID_66860,Rural,Mid,South,Zone 2,6,1,2,6505,Rented,20,1,0,1,89,45.0,2010.0,20,1,B+,5,12,23107
WH_115084,EID_65084,Rural,Small,West,Zone 1,7,3,7,3982,Company Owned,37,1,1,1,96,28.0,,15,1,B,1,3,18145
WH_109483,EID_59483,Rural,Mid,North,Zone 2,3,0,4,4168,Company Owned,49,0,0,1,189,26.0,2003.0,29,0,A,6,1,37075
WH_112920,EID_62920,Urban,Large,West,Zone 5,5,3,3,3692,Rented,36,0,0,1,173,35.0,,5,1,A,4,14,7142
WH_105321,EID_55321,Urban,Mid,West,Zone 4,1,3,2,4630,Company Owned,44,0,0,1,219,31.0,,15,1,C,6,11,20112
WH_115026,EID_65026,Rural,Large,North,Zone 6,7,3,2,5361,Rented,18,0,0,0,100,22.0,2001.0,27,0,A,2,28,35148
WH_107915,EID_57915,Rural,Mid,West,Zone 4,3,0,6,3783,Company Owned,49,1,0,0,103,32.0,2001.0,23,0,C,6,11,31089
WH_119416,EID_69416,Rural,Mid,North,Zone 4,8,1,2,5413,Rented,50,0,0,0,133,20.0,2010.0,15,1,B+,6,26,18081
WH_114664,EID_64664,Rural,Large,North,Zone 5,5,0,4,5641,Company Owned,17,0,0,1,62,31.0,2004.0,29,1,C,5,14,40137
WH_118009,EID_68009,Rural,Mid,West,Zone 4,4,0,4,5534,Rented,56,0,0,0,261,21.0,2017.0,9,0,C,5,26,11136
WH_109710,EID_59710,Rural,Large,South,Zone 5,4,0,3,4431,Company Owned,35,0,1,1,67,42.0,2005.0,31,1,A,4,14,43081
WH_116588,EID_66588,Rural,Small,South,Zone 1,6,3,2,5191,Rented,23,0,0,1,197,26.0,2015.0,11,1,A+,3,21,15084
WH_110477,EID_60477,Rural,Small,West,Zone 1,1,0,2,5526,Rented,33,0,0,1,101,27.0,,17,0,B+,1,21,21079
WH_108735,EID_58735,Rural,Large,South,Zone 6,8,0,2,4401,Rented,27,0,0,1,97,27.0,1996.0,16,0,A,4,29,21081
WH_114731,EID_64731,Rural,Mid,West,Zone 4,3,2,4,4145,Rented,15,0,0,1,186,33.0,2022.0,5,0,B+,1,11,5138
WH_117882,EID_67882,Rural,Mid,South,Zone 4,5,0,2,5021,Company Owned,23,0,0,1,204,35.0,2021.0,4,1,C,3,11,6083
WH_118679,EID_68679,Urban,Large,West,Zone 6,2,0,3,7461,Rented,62,0,0,1,157,,,6,0,C,1,23,8075
WH_114752,EID_64752,Rural,Large,South,Zone 6,7,0,3,4916,Rented,27,0,0,1,55,23.0,1996.0,28,0,C,2,29,37129
WH_101130,EID_51130,Rural,Mid,North,Zone 2,0,0,3,4886,Company Owned,51,0,0,1,66,30.0,,21,0,B+,5,12,25070
WH_123537,EID_73537,Rural,Mid,North,Zone 3,8,0,2,4300,Rented,41,0,0,1,174,45.0,2008.0,18,0,A,5,27,24107
WH_116845,EID_66845,Rural,Small,North,Zone 1,3,0,4,4072,Rented,52,0,0,0,187,31.0,,4,1,A+,2,30,5081
WH_101416,EID_51416,Urban,Mid,North,Zone 4,6,0,3,4535,Rented,18,0,0,1,92,20.0,2016.0,9,1,A+,2,26,12145
WH_105849,EID_55849,Rural,Mid,West,Zone 4,3,0,2,5569,Rented,26,0,0,0,91,35.0,2022.0,8,0,C,2,26,10138
WH_124902,EID_74902,Rural,Mid,West,Zone 2,0,0,2,5140,Company Owned,65,1,0,1,141,92.0,,0,0,,0,12,3146
WH_101621,EID_51621,Urban,Small,West,Zone 6,4,1,4,3549,Company Owned,23,0,0,0,70,38.0,2014.0,13,0,A,2,9,17137
WH_114742,EID_64742,Rural,Large,West,Zone 6,3,0,7,4137,Rented,53,0,0,0,141,18.0,1999.0,25,0,B+,6,23,29111
WH_101840,EID_51840,Rural,Small,South,Zone 1,6,0,2,8018,Rented,19,0,0,0,252,22.0,2018.0,13,1,A+,1,21,18139
WH_110968,EID_60968,Rural,Large,North,Zone 6,3,0,4,4191,Rented,67,0,0,0,77,17.0,2009.0,18,0,C,3,28,22056
WH_107177,EID_57177,Rural,Mid,North,Zone 2,3,1,4,5210,Company Owned,33,0,0,0,215,27.0,2013.0,10,0,B,1,12,12087
WH_117298,EID_67298,Rural,Mid,South,Zone 3,8,1,2,4311,Company Owned,29,0,0,0,84,24.0,2015.0,14,0,B+,1,19,17093
WH_121570,EID_71570,Rural,Small,West,Zone 6,0,1,5,5103,Company Owned,46,0,0,1,96,21.0,,18,0,B,5,15,22086
WH_123272,EID_73272,Rural,Large,North,Zone 5,7,0,2,2755,Company Owned,55,0,0,1,269,21.0,2014.0,10,0,C,3,14,12098
WH_113651,EID_63651,Rural,Small,West,Zone 6,8,0,4,3852,Company Owned,22,0,0,1,245,30.0,2010.0,20,0,B,2,15,23084
WH_101486,EID_51486,Rural,Small,North,Zone 1,6,0,2,4495,Rented,28,0,0,1,257,,2017.0,9,0,B+,6,21,11133
WH_110862,EID_60862,Rural,Mid,North,Zone 3,4,1,2,6678,Rented,55,0,0,0,241,14.0,,7,1,C,3,27,9078
WH_121324,EID_71324,Rural,Mid,South,Zone 4,2,1,2,7461,Company Owned,63,0,0,1,240,25.0,,0,0,,0,20,6073
WH_124863,EID_74863,Rural,Large,North,Zone 6,3,0,3,4430,Company Owned,26,0,0,0,241,22.0,1996.0,26,1,A+,4,28,37081
WH_101238,EID_51238,Rural,Large,West,Zone 5,5,0,4,4350,Rented,70,0,0,1,171,26.0,2018.0,10,0,A,6,14,15091
WH_119450,EID_69450,Rural,Mid,West,Zone 4,3,0,8,2551,Company Owned,62,0,0,1,221,45.0,2007.0,19,0,B,6,26,23070
